atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
6.42361e-05 1.12145e-05 2.80807e-05 3.76946e-05 1.45299e-05 2.24456e-06 1.21834e-05 2.20041e-05 -3.45860e-01
6.42361e-05 1.12167e-05 2.75671e-05 3.79550e-05 1.45261e-05 2.05745e-06 1.29994e-05 2.02529e-05 5.72083e-01
6.42361e-05 1.12803e-05 2.70409e-05 3.82888e-05 1.45223e-05 2.09248e-06 1.25510e-05 1.96101e-05 -2.36708e+00
6.42361e-05 1.11870e-05 2.65118e-05 3.78576e-05 1.45184e-05 2.28034e-06 1.29116e-05 2.39196e-05 1.90632e+00
6.42361e-05 1.12277e-05 2.59785e-05 3.81099e-05 1.45146e-05 2.29098e-06 1.25381e-05 2.07768e-05 -2.91569e+00
6.42361e-05 1.12882e-05 2.54535e-05 3.91116e-05 1.45107e-05 1.56028e-06 1.31818e-05 1.68291e-05 1.01113e+00
6.42361e-05 1.10960e-05 2.49554e-05 3.79837e-05 1.45069e-05 2.10915e-06 1.24797e-05 1.86768e-05 4.24253e-01
6.42361e-05 1.10463e-05 2.44922e-05 3.77473e-05 1.45030e-05 2.30015e-06 1.27945e-05 2.03031e-05 -6.93131e-01
6.42361e-05 1.10584e-05 2.40631e-05 3.81219e-05 1.45012e-05 2.05552e-06 1.38409e-05 1.66126e-05 -1.44115e+00
6.42361e-05 1.10356e-05 2.36730e-05 3.77646e-05 1.45015e-05 2.41733e-06 1.21212e-05 2.07994e-05 -1.16255e+00
6.42361e-05 1.11407e-05 2.33114e-05 3.84586e-05 1.45018e-05 2.18573e-06 1.24433e-05 2.04971e-05 -1.65039e+00
6.42361e-05 1.10371e-05 2.29725e-05 3.79942e-05 1.45020e-05 2.34675e-06 1.28656e-05 1.94652e-05 -1.42481e+00
4.84954e-05 8.53696e-06 2.26548e-05 2.87775e-05 1.09486e-05 2.47441e-06 1.08004e-05 2.29124e-05 -1.08234e+00
0.00000e+00 0.00000e+00 2.23463e-05 -2.94326e-06 0.00000e+00 2.94142e-06 1.63613e-25 2.32427e-05 3.29256e-01
0.00000e+00 0.00000e+00 2.20169e-05 -2.98444e-06 0.00000e+00 2.98241e-06 8.87348e-25 2.48983e-05 8.36547e-01
1.22685e-04 2.31843e-05 2.15913e-05 8.28956e-05 2.76998e-05 2.26234e-06 1.40506e-05 2.07848e-05 3.45525e+00
4.39815e-05 8.09000e-06 2.10367e-05 2.68279e-05 9.93031e-06 3.05076e-06 6.01156e-06 1.89567e-05 -3.91959e+00
1.48148e-04 3.00745e-05 2.04500e-05 9.71422e-05 3.34501e-05 2.49444e-06 6.53161e-06 2.18467e-05 -6.79432e-04
4.60648e-04 9.47367e-05 1.99595e-05 3.25826e-04 1.04011e-04 2.15454e-06 8.19276e-06 2.14407e-05 -9.88872e-01
0.00000e+00 0.00000e+00 1.98874e-05 2.80679e-05 0.00000e+00 2.24057e-06 5.25234e-06 2.56504e-05 8.08261e-01
4.62963e-06 7.63584e-07 2.09444e-05 4.91602e-06 1.04538e-06 3.17236e-06 1.04538e-06 2.34453e-05 -1.01372e+00
0.00000e+00 0.00000e+00 2.28487e-05 -2.49475e-06 0.00000e+00 3.11910e-06 -3.81005e-25 2.36839e-05 -4.07108e-02
0.00000e+00 0.00000e+00 2.46787e-05 -3.32960e-06 0.00000e+00 3.37810e-06 3.81005e-25 2.52075e-05 -3.66031e-01
